Date;Time;instr;price;volume;Exchg;Sales;Corr;Seq;Stop;Source;TRF;Excl;Filter
11.01.2011;09:30:00.338;IBM;18.07;500;T;O X;0;5787;N;C;;;
11.01.2011;09:30:00.338;IBM;18.07;500;T;Q;0;5788;N;C;;X;
11.01.2011;09:33:49.343;IBM;18.5;150;T;F;0;37335;N;C;;;
11.01.2011;09:39:29.281;IBM;19.2;4924;N;O;0;96447;N;C;;;
11.01.2011;09:39:29.349;IBM;19.24;500;D;@;0;96464;N;C;T;;
11.01.2011;09:39:29.411;IBM;19.24;200;N;F;0;96477;N;C;;;
11.01.2011;09:39:29.425;IBM;19.195;100;Z;@;0;96478;N;C;;;
11.01.2011;09:39:29.707;IBM;19.154;104;D;@;0;96507;N;C;T;;
11.01.2011;09:39:30.886;IBM;19.46;100;P;Q;0;96658;N;C;;X;
11.01.2011;09:39:30.886;IBM;19.46;100;P;F;0;96659;N;C;;;
11.01.2011;09:39:30.886;IBM;19.48;100;P;F;0;96660;N;C;;;
11.01.2011;09:39:37.032;IBM;19.5;100;K;@;0;97467;N;C;;;
11.01.2011;09:39:37.144;IBM;19.48;100;K;F;0;97475;N;C;;;
11.01.2011;09:39:37.915;IBM;19.44;100;Z;F;0;97576;N;C;;;
11.01.2011;09:39:37.917;IBM;19.45;100;Z;F;0;97577;N;C;;;
11.01.2011;09:39:38.475;IBM;19.45;100;Z;@;0;97652;N;C;;;
11.01.2011;09:39:44.001;IBM;19.5;500;N;@;0;98917;N;C;;;
11.01.2011;09:39:48.106;IBM;19.54;100;N;F;0;99639;N;C;;;
11.01.2011;09:40:00.855;IBM;19.62;100;N;@;0;102192;N;C;;;
11.01.2011;09:40:04.732;IBM;19.661;505;D;@;0;103047;N;C;T;;
11.01.2011;09:40:27.567;IBM;19.7;285;K;F;0;107209;N;C;;;
11.01.2011;09:40:27.567;IBM;19.7;215;K;F;0;107210;N;C;;;
11.01.2011;09:41:02.420;IBM;19.6847;900;D;@;0;113684;N;C;T;;
11.01.2011;09:41:11.627;IBM;19.61;100;T;F;0;115821;N;C;;;
11.01.2011;09:41:11.627;IBM;19.61;100;N;F;0;115822;N;C;;;
11.01.2011;09:41:19.713;IBM;19.61;100;K;@;0;116981;N;C;;;
11.01.2011;09:41:19.715;IBM;19.61;100;K;@;0;116982;N;C;;;
11.01.2011;09:42:18.352;IBM;19.6;200;N;@;0;126953;N;C;;;
11.01.2011;09:42:57.172;IBM;19.7;100;T;F;0;134182;N;C;;;
11.01.2011;09:42:57.724;IBM;19.7;100;N;@;0;134278;N;C;;;
11.01.2011;09:42:58.236;IBM;19.7;100;N;@;0;134372;N;C;;;
11.01.2011;09:43:15.358;IBM;19.87;100;T;F;0;136292;N;C;;;
11.01.2011;09:43:15.994;IBM;19.87;400;D;@;0;136350;N;C;T;;
11.01.2011;09:43:49.107;IBM;19.866;1000;D;@;0;141296;N;C;T;;
11.01.2011;09:43:49.173;IBM;19.92;100;Z;@;0;141302;N;C;;;
11.01.2011;09:43:49.247;IBM;19.85;200;D;@;0;141304;N;C;T;;
11.01.2011;09:44:13.589;IBM;19.91;200;N;@;0;143953;N;C;;;
11.01.2011;09:44:13.637;IBM;19.9099;200;D;@;0;143956;N;C;T;;
11.01.2011;09:44:14.439;IBM;19.93;400;T;@;0;144000;N;C;;;
11.01.2011;09:46:39.635;IBM;19.83;100;K;@;0;168169;N;C;;;
11.01.2011;09:46:39.637;IBM;19.83;100;K;@;0;168170;N;C;;;
11.01.2011;09:46:39.639;IBM;19.83;100;N;F;0;168176;N;C;;;
11.01.2011;09:46:50.933;IBM;19.91;100;N;@;0;169698;N;C;;;
11.01.2011;09:46:50.995;IBM;19.95;100;D;@;0;169701;N;C;T;;
11.01.2011;09:49:10.431;IBM;19.86;100;N;@;0;186447;N;C;;;
11.01.2011;09:49:10.431;IBM;19.86;288;N;@;0;186448;N;C;;;
11.01.2011;09:51:45.242;IBM;19.88;100;K;@;0;205780;N;C;;;
11.01.2011;09:51:45.953;IBM;19.76;100;N;@;0;205819;N;C;;;
11.01.2011;09:51:57.053;IBM;19.85;100;K;F;0;206780;N;C;;;
11.01.2011;09:52:26.206;IBM;19.88;100;Z;@;0;209955;N;C;;;
11.01.2011;09:52:26.268;IBM;19.89;1000;D;@;0;209960;N;C;T;;
11.01.2011;09:53:00.249;IBM;19.8664;600;D;@;0;212974;N;C;T;;
11.01.2011;09:53:45.326;IBM;19.96;300;N;@;0;217222;N;C;;;
11.01.2011;09:53:45.356;IBM;20;1200;D;@;0;217226;N;C;T;;
11.01.2011;09:53:53.177;IBM;19.93;100;K;F;0;218007;N;C;;;
11.01.2011;09:54:18.794;IBM;19.98;100;K;@;0;221015;N;C;;;
11.01.2011;09:55:25.427;IBM;19.97;100;N;@;0;227400;N;C;;;
11.01.2011;09:55:25.427;IBM;19.98;100;N;@;0;227401;N;C;;;
11.01.2011;09:55:25.788;IBM;19.98;288;T;@;0;227417;N;C;;;
11.01.2011;09:58:14.279;IBM;19.9;150;Y;@;0;244470;N;C;;;
11.01.2011;09:58:14.457;IBM;19.98;200;N;@;0;244475;N;C;;;
11.01.2011;09:58:14.475;IBM;20;1000;N;F;0;244476;N;C;;;
11.01.2011;09:58:14.477;IBM;19.99;100;T;F;0;244477;N;C;;;
11.01.2011;09:58:30.942;IBM;20.02;100;N;@;0;245664;N;C;;;
11.01.2011;09:59:50.150;IBM;19.997;700;D;@;0;253299;N;C;T;;
11.01.2011;10:00:33.109;IBM;20.13;300;Z;F;0;269514;N;C;;;
11.01.2011;10:05:54.173;IBM;20.13;100;N;@;0;322612;N;C;;;
11.01.2011;10:05:58.027;IBM;20.13;100;Z;@;0;323246;N;C;;;
11.01.2011;10:06:01.964;IBM;20.13;1000;Z;@;0;323551;N;C;;;
11.01.2011;10:06:17.025;IBM;20.13;100;Z;@;0;325005;N;C;;;
11.01.2011;10:06:35.032;IBM;20.13;100;Z;@;0;326942;N;C;;;
11.01.2011;10:06:51.036;IBM;20.12;100;P;@;0;329359;N;C;;;
11.01.2011;10:06:51.038;IBM;20.12;100;N;@;0;329360;N;C;;;
11.01.2011;10:06:51.040;IBM;20.12;100;K;@;0;329361;N;C;;;
11.01.2011;10:07:53.023;IBM;20.12;100;K;@;0;336533;N;C;;;
11.01.2011;10:10:55.685;IBM;20.13;100;Z;F;0;356403;N;C;;;
11.01.2011;10:10:55.701;IBM;20.13;700;Z;F;0;356404;N;C;;;
11.01.2011;10:10:55.715;IBM;20.13;550;Z;F;0;356405;N;C;;;
