Date;Time;instr;price;volume;Exchg;Sales;Corr;Seq;Stop;Source;TRF;Excl;Filter
11.01.2011;09:30:00.338;IBM;18.07;500;T;O X;0;5787;N;C;;;
11.01.2011;09:30:00.338;ABCDEFGH;18.07;500;T;Q;0;5788;N;C;;X;
11.01.2011;09:33:49.343;APPL;18.5;150;T;F;0;37335;N;C;;;
11.01.2011;09:39:29.281;TSLA;19.2;4924;N;O;0;96447;N;C;;;
11.01.2011;09:39:29.349;QAN;19.24;500;D;@;0;96464;N;C;T;;
11.01.2011;09:39:29.411;BHP;19.24;200;N;F;0;96477;N;C;;;
11.01.2011;09:39:29.425;BHP1;19.195;100;Z;@;0;96478;N;C;;;
11.01.2011;09:39:29.707;BHP2;19.154;104;D;@;0;96507;N;C;T;;
11.01.2011;09:39:30.886;BHP3;19.46;100;P;Q;0;96658;N;C;;X;
11.01.2011;09:39:30.886;QBE;19.46;100;P;F;0;96659;N;C;;;
11.01.2011;09:39:30.886;MAN;19.48;100;P;F;0;96660;N;C;;;
11.01.2011;09:39:37.032;ALB;19.5;100;K;@;0;97467;N;C;;;
11.01.2011;09:39:37.144;QUOTE;19.48;100;K;F;0;97475;N;C;;;
11.01.2011;09:39:37.915;ASX;19.44;100;Z;F;0;97576;N;C;;;
11.01.2011;09:39:37.917;ASX.IBM;19.45;100;Z;F;0;97577;N;C;;;
11.01.2011;09:39:38.475;ASX.TSLA;19.45;100;Z;@;0;97652;N;C;;;
11.01.2011;09:39:44.001;NAB;19.5;500;N;@;0;98917;N;C;;;
11.01.2011;09:39:48.106;WBC;19.54;100;N;F;0;99639;N;C;;;
11.01.2011;09:40:00.855;WOW;19.62;100;N;@;0;102192;N;C;;;
11.01.2011;09:40:04.732;ASX.WOW;19.661;505;D;@;0;103047;N;C;T;;
11.01.2011;09:40:27.567;ASX.QBE;19.7;285;K;F;0;107209;N;C;;;
11.01.2011;09:40:27.567;COL;19.7;215;K;F;0;107210;N;C;;;
11.01.2011;09:41:02.420;MYER;19.6847;900;D;@;0;113684;N;C;T;;
11.01.2011;09:41:11.627;BNGS;19.61;100;T;F;0;115821;N;C;;;
11.01.2011;09:41:11.627;ASX.BNGS;19.61;100;N;F;0;115822;N;C;;;
11.01.2011;09:41:19.713;LUM;19.61;100;K;@;0;116981;N;C;;;
11.01.2011;09:41:19.715;LUMI;19.61;100;K;@;0;116982;N;C;;;
11.01.2011;09:42:18.352;FNX;19.6;200;N;@;0;126953;N;C;;;
11.01.2011;09:42:57.172;FTC;19.7;100;T;F;0;134182;N;C;;;
11.01.2011;09:42:57.724;ATR;19.7;100;N;@;0;134278;N;C;;;
11.01.2011;09:42:58.236;VER;19.7;100;N;@;0;134372;N;C;;;
11.01.2011;09:43:15.358;IBM;19.87;100;T;F;0;136292;N;C;;;
11.01.2011;09:43:15.994;ABCDEFGH;19.87;400;D;@;0;136350;N;C;T;;
11.01.2011;09:43:49.107;APPL;19.866;1000;D;@;0;141296;N;C;T;;
11.01.2011;09:43:49.173;TSLA;19.92;100;Z;@;0;141302;N;C;;;
11.01.2011;09:43:49.247;QAN;19.85;200;D;@;0;141304;N;C;T;;
11.01.2011;09:44:13.589;BHP;19.91;200;N;@;0;143953;N;C;;;
11.01.2011;09:44:13.637;BHP1;19.9099;200;D;@;0;143956;N;C;T;;
11.01.2011;09:44:14.439;BHP2;19.93;400;T;@;0;144000;N;C;;;
11.01.2011;09:46:39.635;BHP3;19.83;100;K;@;0;168169;N;C;;;
11.01.2011;09:46:39.637;QBE;19.83;100;K;@;0;168170;N;C;;;
11.01.2011;09:46:39.639;MAN;19.83;100;N;F;0;168176;N;C;;;
11.01.2011;09:46:50.933;ALB;19.91;100;N;@;0;169698;N;C;;;
11.01.2011;09:46:50.995;QUOTE;19.95;100;D;@;0;169701;N;C;T;;
11.01.2011;09:49:10.431;ASX;19.86;100;N;@;0;186447;N;C;;;
11.01.2011;09:49:10.431;ASX.IBM;19.86;288;N;@;0;186448;N;C;;;
11.01.2011;09:51:45.242;ASX.TSLA;19.88;100;K;@;0;205780;N;C;;;
11.01.2011;09:51:45.953;NAB;19.76;100;N;@;0;205819;N;C;;;
11.01.2011;09:51:57.053;WBC;19.85;100;K;F;0;206780;N;C;;;
11.01.2011;09:52:26.206;WOW;19.88;100;Z;@;0;209955;N;C;;;
11.01.2011;09:52:26.268;ASX.WOW;19.89;1000;D;@;0;209960;N;C;T;;
11.01.2011;09:53:00.249;ASX.QBE;19.8664;600;D;@;0;212974;N;C;T;;
11.01.2011;09:53:45.326;COL;19.96;300;N;@;0;217222;N;C;;;
11.01.2011;09:53:45.356;MYER;20;1200;D;@;0;217226;N;C;T;;
11.01.2011;09:53:53.177;BNGS;19.93;100;K;F;0;218007;N;C;;;
11.01.2011;09:54:18.794;ASX.BNGS;19.98;100;K;@;0;221015;N;C;;;
11.01.2011;09:55:25.427;LUM;19.97;100;N;@;0;227400;N;C;;;
11.01.2011;09:55:25.427;LUMI;19.98;100;N;@;0;227401;N;C;;;
11.01.2011;09:55:25.788;FNX;19.98;288;T;@;0;227417;N;C;;;
11.01.2011;09:58:14.279;FTC;19.9;150;Y;@;0;244470;N;C;;;
11.01.2011;09:58:14.457;ATR;19.98;200;N;@;0;244475;N;C;;;
11.01.2011;09:58:14.475;VER;20;1000;N;F;0;244476;N;C;;;
11.01.2011;09:58:14.477;IBM;19.99;100;T;F;0;244477;N;C;;;
11.01.2011;09:58:30.942;ABCDEFGH;20.02;100;N;@;0;245664;N;C;;;
11.01.2011;09:59:50.150;APPL;19.997;700;D;@;0;253299;N;C;T;;
11.01.2011;10:00:33.109;TSLA;20.13;300;Z;F;0;269514;N;C;;;
11.01.2011;10:05:54.173;QAN;20.13;100;N;@;0;322612;N;C;;;
11.01.2011;10:05:58.027;BHP;20.13;100;Z;@;0;323246;N;C;;;
11.01.2011;10:06:01.964;BHP1;20.13;1000;Z;@;0;323551;N;C;;;
11.01.2011;10:06:17.025;BHP2;20.13;100;Z;@;0;325005;N;C;;;
11.01.2011;10:06:35.032;BHP3;20.13;100;Z;@;0;326942;N;C;;;
11.01.2011;10:06:51.036;QBE;20.12;100;P;@;0;329359;N;C;;;
11.01.2011;10:06:51.038;MAN;20.12;100;N;@;0;329360;N;C;;;
11.01.2011;10:06:51.040;ALB;20.12;100;K;@;0;329361;N;C;;;
